Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

U1         LQFP-144_20X20mm   1301.736mil   1737.312mil   1301.736mil   1737.312mil   1353.934mil   2276.689mil  B        225.00 STM32F746ZET   
R52        ERA-0603              2110mil        420mil       2110mil        420mil   2143.465mil        420mil  B        180.00 2K2            
R53        ERA-0603              1970mil        775mil       1970mil        775mil   2003.465mil        775mil  B        180.00 2K2            
R54        ERA-0603              2265mil        740mil       2265mil        740mil       2265mil    706.536mil  B         90.00 2K2            
R55        ERA-0603              2160mil        775mil       2160mil        775mil   2126.535mil        775mil  B        360.00 2K2            
R57        ERA-0603              2165mil        660mil       2165mil        660mil       2165mil    626.535mil  T         90.00 1K2            
R58        ERA-0603            333.48mil       1605mil     333.48mil       1605mil    300.015mil       1605mil  B        360.00 4K7            
R59        ERA-0603              2119mil        561mil       2119mil        561mil   2152.465mil        561mil  T        180.00 2K2            
R60        ERA-0603              1390mil       1470mil       1390mil       1470mil       1390mil   1436.535mil  T         90.00 10K            
R61        ERA-0603              1503mil       1927mil       1503mil       1927mil   1479.337mil   1950.663mil  T        315.00 10K            
U3         419A-01_N              469mil       1122mil        469mil       1122mil    509.354mil   1096.409mil  T        180.00 MC74VHC1GT14DFT1
U4         SO16_N             465.512mil        685mil    465.512mil        685mil    371.024mil        860mil  T        360.00 ULN2003A       
U5         419A-01_N              469mil        981mil        469mil        981mil    509.354mil    955.409mil  T        180.00 MC74VHC1GT14DFT1
U6         QFN8_V             332.997mil    930.003mil        333mil        930mil    384.178mil    968.389mil  B        180.00 STLD40DPUR     
U8         NSO8_N            2040.512mil        855mil   2040.512mil        855mil       2135mil        780mil  T        180.00 MAX485CSA      
U9         SOP8_N            1354.142mil       1730mil   1354.142mil       1730mil   1429.142mil   1828.425mil  T        270.00 M24128RMN1     
U10        MICT-SE-8_N       1662.799mil   2076.846mil   1662.799mil   2076.846mil   1709.289mil   1924.289mil  T        135.00 N25Q128A13ESE40E
U11        TO220                 2370mil       1450mil       2370mil       1450mil       2370mil       1550mil  B        270.00 DC/DC BUCK     
U12        ZZ311             2286.001mil       1021mil       2286mil       1021mil    2195.45mil   1153.874mil  B        360.00 REG1117-3.3    
Y1         CSM-7                 1920mil       2170mil       1920mil       2170mil   2038.315mil   2051.685mil  B        135.00 ECS-110-S-5P   
Y2         R38                   1550mil       2425mil       1550mil       2425mil   1611.024mil       2425mil  T        270.00 RTC            
D1         1.6X0.8X0.8A          1085mil       2485mil       1085mil       2485mil       1085mil   2455.472mil  T        270.00 HSMH-C190      
L1         0603                  1970mil       1205mil       1970mil       1205mil   1936.535mil       1205mil  T        360.00 BLM15AG121     
L2         0603                   925mil        900mil        925mil        900mil        925mil    933.465mil  T        270.00 BLM15AG121     
L5         0603                   330mil       1145mil        330mil       1145mil    296.536mil       1145mil  B        360.00 BLM15AG121     
L7         0603                   570mil        790mil        570mil        790mil        570mil    756.535mil  B         90.00 BLM15AG121     
L8         0603              2294.488mil    772.244mil   2294.488mil    772.244mil   2261.024mil    772.244mil  T        360.00 BLM15AG121     
L9         0603                  1940mil    653.465mil       1940mil    653.465mil       1940mil    686.929mil  T        270.00 BLM15AG121     
L10        0603                  1945mil       1810mil       1945mil       1810mil       1945mil   1776.536mil  T         90.00 BLM15AG121     
L3         0603                  2175mil       1695mil       2175mil       1695mil   2141.535mil       1695mil  B        360.00 BLM15AG121     
P11        HDR1X8                 817mil        666mil        817mil        316mil        817mil        316mil  B         90.00 FANCOIL_INTERFACE
U2         MICT-P-86_N           1306mil        520mil       1306mil        520mil   1522.535mil    933.386mil  B        180.00 MT48LC4M32B2P-6A
P12        HDR1X8                1820mil        670mil       1820mil        320mil       1820mil        320mil  B         90.00 POWER_&_COM    
R22        ERA-0603              1328mil       2114mil       1328mil       2114mil   1304.337mil   2090.337mil  T         45.00 10K            

